SWV ITM Data Console - ITM Port: 0
voltage, current, omega. 
222, 0.04, 0.00 
223, 0.04, 0.00 
224, 0.04, 0.00 
225, 0.04, 0.00 
226, 0.04, 0.00 
227, 0.04, 0.00 
228, 0.04, 0.00 
229, 0.04, 0.00 
230, 0.05, 0.00 
231, 0.05, 0.00 
232, 0.05, 0.00 
233, 0.05, 0.00 
234, 0.05, 0.00 
235, 0.05, 0.00 
236, 0.05, 0.00 
237, 0.05, 0.00 
238, 0.05, 0.00 
239, 0.05, 0.00 
240, 0.05, 0.00 
241, 0.05, 0.00 
242, 0.05, 0.00 
243, 0.05, 0.00 
244, 0.05, 0.00 
245, 0.05, 0.00 
246, 0.05, 0.00 
247, 0.05, 0.00 
248, 0.05, 0.00 
249, 0.05, 0.00 
250, 0.05, 0.00 
251, 0.05, 0.00 
252, 0.05, 0.00 
253, 0.05, 0.00 
254, 0.05, 0.00 
255, 0.05, 0.00 
256, 0.05, 0.00 
257, 0.05, 0.00 
258, 0.05, 0.00 
259, 0.05, 0.00 
260, 0.05, 0.00 
261, 0.05, 0.00 
262, 0.05, 0.00 
263, 0.05, 0.00 
264, 0.05, 0.00 
265, 0.05, 0.00 
266, 0.05, 0.00 
267, 0.05, 0.00 
268, 0.05, 0.00 
269, 0.05, 0.00 
270, 0.05, 0.00 
271, 0.05, 0.00 
272, 0.05, 0.00 
273, 0.05, 0.00 
274, 0.05, 0.00 
275, 0.05, 0.00 
276, 0.05, 0.00 
277, 0.05, 0.00 
278, 0.05, 0.00 
279, 0.05, 0.00 
280, 0.05, 0.00 
281, 0.05, 0.00 
282, 0.05, 0.00 
283, 0.06, 0.00 
284, 0.06, 0.00 
285, 0.06, 0.00 
286, 0.06, 0.00 
287, 0.06, 0.00 
288, 0.06, 0.00 
289, 0.06, 0.00 
290, 0.06, 0.00 
291, 0.06, 0.00 
292, 0.06, 0.00 
293, 0.06, 0.00 
294, 0.06, 0.00 
295, 0.06, 0.00 
296, 0.06, 0.00 
297, 0.06, 0.00 
298, 0.06, 0.00 
299, 0.06, 0.00 
300, 0.06, 0.00 
301, 0.06, 0.00 
302, 0.06, 0.00 
303, 0.06, 0.00 
304, 0.06, 0.00 
305, 0.06, 0.00 
306, 0.06, 0.00 
307, 0.06, 0.00 
308, 0.06, 0.00 
309, 0.06, 0.00 
310, 0.06, 0.00 
311, 0.06, 0.00 
312, 0.06, 0.00 
313, 0.06, 0.00 
314, 0.06, 0.00 
315, 0.06, 0.00 
316, 0.06, 0.00 
317, 0.06, 0.00 
318, 0.06, 0.00 
319, 0.06, 0.00 
320, 0.06, 0.00 
321, 0.06, 0.00 
322, 0.06, 0.00 
323, 0.06, 0.00 
324, 0.06, 0.00 
325, 0.06, 0.00 
326, 0.06, 0.00 
327, 0.06, 0.00 
328, 0.06, 0.00 
329, 0.06, 0.00 
330, 0.06, 0.00 
331, 0.06, 0.00 
332, 0.06, 0.00 
333, 0.06, 0.00 
334, 0.06, 0.00 
335, 0.06, 0.00 
336, 0.07, 0.00 
337, 0.07, 0.00 
338, 0.07, 0.00 
339, 0.07, 0.00 
340, 0.07, 0.00 
341, 0.07, 0.00 
342, 0.07, 0.00 
343, 0.07, 0.00 
344, 0.07, 0.00 
345, 0.07, 0.00 
346, 0.07, 0.00 
347, 0.07, 0.00 
348, 0.07, 0.00 
349, 0.07, 0.00 
350, 0.07, 0.00 
351, 0.07, 0.00 
352, 0.07, 0.00 
353, 0.07, 0.00 
354, 0.07, 0.00 
355, 0.07, 0.00 
356, 0.07, 0.00 
357, 0.07, 0.00 
358, 0.07, 0.00 
359, 0.07, 0.00 
360, 0.07, 0.00 
361, 0.07, 0.00 
362, 0.07, 0.00 
363, 0.07, 0.00 
364, 0.07, 0.00 
365, 0.07, 0.00 
366, 0.07, 0.00 
367, 0.07, 0.00 
368, 0.07, 0.00 
369, 0.07, 0.00 
370, 0.07, 0.00 
371, 0.07, 0.00 
372, 0.07, 0.00 
373, 0.07, 0.00 
374, 0.07, 0.00 
375, 0.07, 0.00 
376, 0.07, 0.00 
377, 0.07, 0.00 
378, 0.07, 0.00 
379, 0.07, 0.00 
380, 0.07, 0.00 
381, 0.07, 0.00 
382, 0.07, 0.00 
383, 0.07, 0.00 
384, 0.07, 0.00 
385, 0.07, 0.00 
386, 0.07, 0.00 
387, 0.07, 0.00 
388, 0.07, 0.00 
389, 0.07, 0.00 
390, 0.08, 0.00 
391, 0.08, 0.00 
392, 0.08, 0.00 
393, 0.08, 0.00 
394, 0.08, 0.00 
395, 0.08, 0.00 
396, 0.08, 0.00 
397, 0.08, 0.00 
398, 0.08, 0.00 
399, 0.08, 0.00 
400, 0.08, 0.00 
401, 0.08, 0.00 
402, 0.08, 0.00 
403, 0.08, 0.00 
404, 0.08, 0.00 
405, 0.08, 0.00 
406, 0.08, 0.00 
407, 0.08, 0.00 
408, 0.08, 0.00 
409, 0.08, 0.00 
410, 0.08, 0.00 
411, 0.08, 0.00 
412, 0.08, 0.00 
413, 0.08, 0.00 
414, 0.08, 0.00 
415, 0.08, 0.00 
416, 0.08, 0.00 
417, 0.08, 0.00 
418, 0.08, 0.00 
419, 0.08, 0.00 
420, 0.08, 0.00 
421, 0.08, 0.00 
422, 0.08, 0.00 
423, 0.08, 0.00 
424, 0.08, 0.00 
425, 0.08, 0.00 
426, 0.08, 0.00 
427, 0.08, 0.00 
428, 0.08, 0.00 
429, 0.08, 0.00 
430, 0.08, 0.00 
431, 0.08, 0.00 
432, 0.08, 0.00 
433, 0.08, 0.00 
434, 0.08, 0.00 
435, 0.08, 0.00 
436, 0.08, 0.00 
437, 0.08, 0.00 
438, 0.08, 0.00 
439, 0.08, 0.00 
440, 0.08, 0.00 
441, 0.08, 0.00 
442, 0.08, 0.00 
443, 0.08, 0.00 
444, 0.09, 0.00 
445, 0.09, 0.00 
446, 0.09, 0.00 
447, 0.09, 0.00 
448, 0.09, 0.00 
449, 0.09, 0.00 
450, 0.09, 0.00 
451, 0.09, 0.00 
452, 0.09, 0.00 
453, 0.09, 0.00 
454, 0.09, 0.00 
455, 0.09, 0.00 
456, 0.09, 0.00 
457, 0.09, 0.00 
458, 0.09, 0.00 
459, 0.09, 0.00 
460, 0.09, 0.00 
461, 0.09, 0.00 
462, 0.09, 0.00 
463, 0.09, 0.00 
464, 0.09, 0.00 
465, 0.09, 0.00 
466, 0.09, 0.00 
467, 0.09, 0.00 
468, 0.09, 0.00 
469, 0.09, 0.00 
470, 0.09, 0.00 
471, 0.09, 0.00 
472, 0.09, 0.00 
473, 0.09, 0.00 
474, 0.09, 0.00 
475, 0.09, 0.00 
476, 0.09, 0.00 
477, 0.09, 0.00 
478, 0.09, 0.00 
479, 0.09, 0.00 
480, 0.09, 0.00 
481, 0.09, 0.00 
482, 0.09, 0.00 
483, 0.09, 0.00 
484, 0.09, 0.00 
485, 0.09, 0.00 
486, 0.09, 0.00 
487, 0.09, 0.00 
488, 0.09, 0.00 
489, 0.09, 0.00 
490, 0.09, 0.00 
491, 0.09, 0.00 
492, 0.09, 0.00 
493, 0.09, 0.00 
494, 0.09, 0.00 
495, 0.09, 0.00 
496, 0.09, 0.00 
497, 0.09, 0.00 
498, 0.09, 0.00 
499, 0.10, 0.00 
500, 0.10, 0.00 
501, 0.10, 0.00 
502, 0.10, 0.00 
503, 0.10, 0.00 
504, 0.10, 0.00 
505, 0.10, 0.00 
506, 0.10, 0.00 
507, 0.10, 0.00 
508, 0.10, 0.00 
509, 0.10, 0.00 
510, 0.10, 0.00 
511, 0.10, 0.00 
512, 0.10, 0.00 
513, 0.10, 0.00 
514, 0.10, 0.00 
515, 0.10, 0.00 
516, 0.10, 0.00 
517, 0.10, 0.00 
518, 0.10, 0.00 
519, 0.10, 0.00 
520, 0.10, 0.00 
521, 0.10, 0.00 
522, 0.10, 0.00 
523, 0.10, 0.00 
524, 0.10, 0.00 
525, 0.10, 0.00 
526, 0.10, 0.00 
527, 0.10, 0.00 
528, 0.10, 0.00 
529, 0.10, 0.00 
530, 0.10, 0.00 
531, 0.10, 0.00 
532, 0.10, 0.00 
533, 0.10, 0.00 
534, 0.10, 0.00 
535, 0.10, 0.00 
536, 0.10, 0.00 
537, 0.10, 0.00 
538, 0.10, 0.00 
539, 0.10, 0.00 
540, 0.10, 0.00 
541, 0.10, 0.00 
542, 0.10, 0.00 
543, 0.10, 0.00 
544, 0.10, 0.00 
545, 0.10, 0.00 
546, 0.10, 0.00 
547, 0.10, 0.00 
548, 0.10, 0.00 
549, 0.10, 0.00 
550, 0.10, 0.00 
551, 0.10, 0.00 
552, 0.10, 0.00 
553, 0.10, 0.00 
554, 0.11, 0.00 
555, 0.11, 0.00 
556, 0.11, 0.00 
557, 0.11, 0.00 
558, 0.11, 0.00 
559, 0.11, 0.00 
560, 0.11, 0.00 
561, 0.11, 0.00 
562, 0.11, 0.00 
563, 0.11, 0.00 
564, 0.11, 0.00 
565, 0.11, 0.00 
566, 0.11, 0.00 
567, 0.11, 0.00 
568, 0.11, 0.00 
569, 0.11, 0.00 
570, 0.11, 0.00 
571, 0.11, 0.00 
572, 0.11, 0.00 
573, 0.11, 0.00 
574, 0.11, 0.00 
575, 0.11, 0.00 
576, 0.11, 0.00 
577, 0.11, 0.00 
578, 0.11, 0.00 
579, 0.11, 0.00 
580, 0.11, 0.00 
581, 0.11, 0.00 
582, 0.11, 0.00 
583, 0.11, 0.00 
584, 0.11, 0.00 
585, 0.11, 0.00 
586, 0.11, 0.00 
587, 0.11, 0.00 
588, 0.11, 0.00 
589, 0.11, 0.00 
590, 0.11, 0.00 
591, 0.11, 0.00 
592, 0.11, 0.00 
593, 0.11, 0.00 
594, 0.11, 0.00 
595, 0.11, 0.00 
596, 0.11, 0.00 
597, 0.11, 0.00 
598, 0.11, 0.00 
599, 0.11, 0.00 
600, 0.11, 0.00 
601, 0.11, 0.00 
602, 0.11, 0.00 
603, 0.11, 0.00 
604, 0.11, 0.00 
605, 0.11, 0.00 
606, 0.11, 0.00 
607, 0.11, 0.00 
608, 0.11, 0.00 
609, 0.11, 0.00 
610, 0.11, 0.00 
611, 0.12, 0.00 
612, 0.12, 0.00 
613, 0.12, 0.00 
614, 0.12, 0.00 
615, 0.12, 0.00 
616, 0.12, 0.00 
617, 0.12, 0.00 
618, 0.12, 0.00 
619, 0.12, 0.00 
620, 0.12, 0.00 
621, 0.12, 0.00 
622, 0.12, 0.00 
623, 0.12, 0.00 
624, 0.12, 0.00 
625, 0.12, 0.00 
626, 0.12, 0.00 
627, 0.12, 0.00 
628, 0.12, 0.00 
629, 0.12, 0.00 
630, 0.12, 0.00 
631, 0.12, 0.00 
632, 0.12, 0.00 
633, 0.12, 0.00 
634, 0.12, 0.00 
635, 0.12, 0.00 
636, 0.12, 0.00 
637, 0.12, 0.00 
638, 0.12, 0.00 
639, 0.12, 0.00 
640, 0.12, 0.00 
641, 0.12, 0.00 
642, 0.12, 0.00 
643, 0.12, 0.00 
644, 0.12, 0.00 
645, 0.12, 0.00 
646, 0.12, 0.00 
647, 0.12, 0.00 
648, 0.12, 0.00 
649, 0.12, 0.00 
650, 0.12, 0.00 
651, 0.12, 0.00 
652, 0.12, 0.00 
653, 0.12, 0.00 
654, 0.12, 0.00 
655, 0.12, 0.00 
656, 0.12, 0.00 
657, 0.12, 0.00 
658, 0.12, 0.00 
659, 0.12, 0.00 
660, 0.12, 0.00 
661, 0.12, 0.00 
662, 0.12, 0.00 
663, 0.12, 0.00 
664, 0.12, 0.00 
665, 0.12, 0.00 
666, 0.12, 0.00 
667, 0.13, 0.00 
668, 0.13, 0.00 
669, 0.13, 0.00 
670, 0.13, 0.00 
671, 0.13, 0.00 
672, 0.13, 0.00 
673, 0.13, 0.00 
674, 0.13, 0.00 
675, 0.13, 0.00 
676, 0.13, 0.00 
677, 0.13, 0.00 
678, 0.13, 0.00 
679, 0.13, 0.00 
680, 0.13, 0.00 
681, 0.13, 0.00 
682, 0.13, 0.00 
683, 0.13, 0.00 
684, 0.13, 0.00 
685, 0.13, 0.00 
686, 0.13, 0.00 
687, 0.13, 0.00 
688, 0.13, 0.00 
689, 0.13, 0.00 
690, 0.13, 0.00 
691, 0.13, 0.00 
692, 0.13, 0.00 
693, 0.13, 0.00 
694, 0.13, 0.00 
695, 0.13, 0.00 
696, 0.13, 0.00 
697, 0.13, 0.00 
698, 0.13, 0.00 
699, 0.13, 0.00 
700, 0.13, 0.00 
701, 0.13, 0.00 
702, 0.13, 0.00 
703, 0.13, 0.00 
704, 0.13, 0.00 
705, 0.13, 0.00 
706, 0.13, 0.00 
707, 0.13, 0.00 
708, 0.13, 0.00 
709, 0.13, 0.00 
710, 0.13, 0.00 
711, 0.13, 0.00 
712, 0.13, 0.00 
713, 0.13, 0.00 
714, 0.13, 0.00 
715, 0.13, 0.00 
716, 0.13, 0.00 
717, 0.13, 0.00 
718, 0.13, 0.00 
719, 0.13, 0.00 
720, 0.13, 0.00 
721, 0.13, 0.00 
722, 0.13, 0.00 
723, 0.13, 0.00 
724, 0.13, 0.00 
725, 0.14, 0.00 
726, 0.14, 0.00 
727, 0.14, 0.00 
728, 0.14, 0.00 
729, 0.14, 0.00 
730, 0.14, 0.00 
731, 0.14, 0.00 
732, 0.14, 0.00 
733, 0.14, 0.00 
734, 0.14, 0.00 
735, 0.14, 0.00 
736, 0.14, 0.00 
737, 0.14, 0.00 
738, 0.14, 0.00 
739, 0.14, 0.00 
740, 0.14, 0.00 
741, 0.14, 0.00 
742, 0.14, 0.00 
743, 0.14, 0.00 
744, 0.14, 0.00 
745, 0.14, 0.00 
746, 0.14, 0.00 
747, 0.14, 0.00 
748, 0.14, 0.00 
749, 0.14, 0.00 
750, 0.14, 0.00 
751, 0.14, 0.00 
752, 0.14, 0.00 
753, 0.14, 0.00 
754, 0.14, 0.00 
755, 0.14, 0.00 
756, 0.14, 0.00 
757, 0.14, 0.00 
758, 0.14, 0.00 
759, 0.14, 0.00 
760, 0.14, 0.00 
761, 0.14, 0.00 
762, 0.14, 0.00 
763, 0.14, 0.00 
764, 0.14, 0.00 
765, 0.14, 0.00 
766, 0.14, 0.00 
767, 0.14, 0.00 
768, 0.14, 0.00 
769, 0.14, 0.00 
770, 0.14, 0.00 
771, 0.14, 0.00 
772, 0.14, 0.00 
773, 0.14, 0.00 
774, 0.14, 0.00 
775, 0.14, 0.00 
776, 0.14, 0.00 
777, 0.14, 0.00 
778, 0.14, 0.00 
779, 0.14, 0.00 
780, 0.14, 0.00 
781, 0.14, 0.00 
782, 0.14, 0.00 
783, 0.15, 0.00 
784, 0.15, 0.00 
785, 0.15, 0.00 
786, 0.15, 0.00 
787, 0.15, 0.00 
788, 0.15, 0.00 
789, 0.15, 0.00 
790, 0.15, 0.00 
791, 0.15, 0.00 
792, 0.15, 0.00 
793, 0.15, 0.00 
794, 0.15, 0.00 
795, 0.15, 0.00 
796, 0.15, 0.00 
797, 0.15, 0.00 
798, 0.15, 0.00 
799, 0.15, 0.00 
800, 0.15, 0.00 
801, 0.15, 0.00 
802, 0.15, 0.00 
803, 0.15, 0.00 
804, 0.15, 0.00 
805, 0.15, 0.00 
806, 0.15, 0.00 
807, 0.15, 0.00 
808, 0.15, 0.00 
809, 0.15, 0.00 
810, 0.15, 0.00 
811, 0.15, 0.00 
812, 0.15, 0.00 
813, 0.15, 0.00 
814, 0.15, 0.00 
815, 0.15, 0.00 
816, 0.15, 0.00 
817, 0.15, 0.00 
818, 0.15, 0.00 
819, 0.15, 0.00 
820, 0.15, 0.00 
821, 0.15, 0.00 
822, 0.15, 0.00 
823, 0.15, 0.00 
824, 0.15, 0.00 
825, 0.15, 0.00 
826, 0.15, 0.00 
827, 0.15, 0.00 
828, 0.15, 0.01 
829, 0.15, 0.01 
830, 0.15, 0.01 
831, 0.15, 0.01 
832, 0.15, 0.01 
833, 0.15, 0.01 
834, 0.15, 0.01 
835, 0.15, 0.01 
836, 0.15, 0.01 
837, 0.15, 0.01 
838, 0.15, 0.01 
839, 0.15, 0.01 
840, 0.15, 0.01 
841, 0.15, 0.01 
842, 0.16, 0.01 
843, 0.16, 0.01 
844, 0.16, 0.01 
845, 0.16, 0.01 
846, 0.16, 0.01 
847, 0.16, 0.01 
848, 0.16, 0.01 
849, 0.16, 0.01 
850, 0.16, 0.01 
851, 0.16, 0.01 
852, 0.16, 0.01 
853, 0.16, 0.01 
854, 0.16, 0.01 
855, 0.16, 0.01 
856, 0.16, 0.01 
857, 0.16, 0.01 
858, 0.16, 0.01 
859, 0.16, 0.01 
860, 0.16, 0.01 
861, 0.16, 0.01 
862, 0.16, 0.01 
863, 0.16, 0.01 
864, 0.16, 0.01 
865, 0.16, 0.01 
866, 0.16, 0.01 
867, 0.16, 0.01 
868, 0.16, 0.01 
869, 0.16, 0.01 
870, 0.16, 0.01 
871, 0.16, 0.01 
872, 0.16, 0.01 
873, 0.16, 0.01 
874, 0.16, 0.01 
875, 0.16, 0.01 
876, 0.16, 0.01 
877, 0.16, 0.01 
878, 0.16, 0.01 
879, 0.16, 0.01 
880, 0.16, 0.01 
881, 0.16, 0.01 
882, 0.16, 0.01 
883, 0.16, 0.01 
884, 0.16, 0.01 
885, 0.16, 0.01 
886, 0.16, 0.01 
887, 0.16, 0.01 
888, 0.16, 0.01 
889, 0.16, 0.01 
890, 0.16, 0.01 
891, 0.16, 0.01 
892, 0.16, 0.01 
893, 0.16, 0.01 
894, 0.16, 0.01 
895, 0.16, 0.01 
896, 0.16, 0.01 
897, 0.16, 0.01 
898, 0.16, 0.01 
899, 0.16, 0.01 
900, 0.16, 0.01 
901, 0.17, 0.01 
902, 0.17, 0.01 
903, 0.17, 0.01 
904, 0.17, 0.01 
905, 0.17, 0.01 
906, 0.17, 0.01 
907, 0.17, 0.01 
908, 0.17, 0.01 
909, 0.17, 0.01 
910, 0.17, 0.01 
911, 0.17, 0.01 
912, 0.17, 0.01 
913, 0.17, 0.01 
914, 0.17, 0.01 
915, 0.17, 0.01 
916, 0.17, 0.01 
917, 0.17, 0.01 
918, 0.17, 0.01 
919, 0.17, 0.01 
920, 0.17, 0.01 
921, 0.17, 0.01 
922, 0.17, 0.01 
923, 0.17, 0.01 
924, 0.17, 0.01 
925, 0.17, 0.01 
926, 0.17, 0.01 
927, 0.17, 0.01 
928, 0.17, 0.01 
929, 0.17, 0.01 
930, 0.17, 0.01 
931, 0.17, 0.01 
932, 0.17, 0.01 
933, 0.17, 0.01 
934, 0.17, 0.01 
935, 0.17, 0.01 
936, 0.17, 0.01 
937, 0.17, 0.01 
938, 0.17, 0.01 
939, 0.17, 0.01 
940, 0.17, 0.01 
941, 0.17, 0.01 
942, 0.17, 0.01 
943, 0.17, 0.01 
944, 0.17, 0.01 
945, 0.17, 0.01 
946, 0.17, 0.01 
947, 0.17, 0.01 
948, 0.17, 0.01 
949, 0.17, 0.01 
950, 0.17, 0.01 
951, 0.17, 0.01 
952, 0.17, 0.01 
953, 0.17, 0.01 
954, 0.17, 0.01 
955, 0.17, 0.01 
956, 0.17, 0.01 
957, 0.17, 0.01 
958, 0.17, 0.01 
959, 0.17, 0.01 
960, 0.17, 0.01 
961, 0.17, 0.01 
962, 0.18, 0.01 
963, 0.18, 0.01 
964, 0.18, 0.01 
965, 0.18, 0.01 
966, 0.18, 0.01 
967, 0.18, 0.01 
968, 0.18, 0.01 
969, 0.18, 0.01 
970, 0.18, 0.01 
971, 0.18, 0.01 
972, 0.18, 0.01 
973, 0.18, 0.01 
974, 0.18, 0.01 
975, 0.18, 0.01 
976, 0.18, 0.01 
977, 0.18, 0.01 
978, 0.18, 0.01 
979, 0.18, 0.01 
980, 0.18, 0.01 
981, 0.18, 0.01 
982, 0.18, 0.01 
983, 0.18, 0.01 
984, 0.18, 0.01 
985, 0.18, 0.01 
986, 0.18, 0.01 
987, 0.18, 0.01 
988, 0.18, 0.01 
989, 0.18, 0.01 
990, 0.18, 0.01 
991, 0.18, 0.01 
992, 0.18, 0.01 
993, 0.18, 0.01 
994, 0.18, 0.01 
995, 0.18, 0.01 
996, 0.18, 0.01 
997, 0.18, 0.01 
998, 0.18, 0.01 
999, 0.18, 0.01 
1000, 0.18, 0.01 
1001, 0.18, 0.01 
1002, 0.18, 0.01 
1003, 0.18, 0.01 
1004, 0.18, 0.01 
1005, 0.18, 0.01 
1006, 0.18, 0.01 
1007, 0.18, 0.01 
1008, 0.18, 0.01 
1009, 0.18, 0.01 
1010, 0.18, 0.01 
1011, 0.18, 0.01 
1012, 0.18, 0.01 
1013, 0.18, 0.01 
1014, 0.18, 0.01 
1015, 0.18, 0.01 
1016, 0.18, 0.01 
1017, 0.18, 0.01 
1018, 0.18, 0.01 
1019, 0.18, 0.01 
1020, 0.18, 0.01 
1021, 0.18, 0.01 
1022, 0.18, 0.01 
1023, 0.19, 0.01 
1024, 0.19, 0.01 
1025, 0.19, 0.01 
1026, 0.19, 0.01 
1027, 0.19, 0.01 
1028, 0.19, 0.01 
1029, 0.19, 0.01 
1030, 0.19, 0.01 
1031, 0.19, 0.01 
1032, 0.19, 0.01 
1033, 0.19, 0.01 
1034, 0.19, 0.01 
1035, 0.19, 0.01 
1036, 0.19, 0.01 
1037, 0.19, 0.01 
1038, 0.19, 0.01 
1039, 0.19, 0.01 
1040, 0.19, 0.01 
1041, 0.19, 0.01 
1042, 0.19, 0.01 
1043, 0.19, 0.01 
1044, 0.19, 0.01 
1045, 0.19, 0.01 
1046, 0.19, 0.01 
1047, 0.19, 0.01 
1048, 0.19, 0.01 
1049, 0.19, 0.01 
1050, 0.19, 0.01 
1051, 0.19, 0.01 
1052, 0.19, 0.01 
1053, 0.19, 0.01 
1054, 0.19, 0.01 
1055, 0.19, 0.01 
1056, 0.19, 0.01 
1057, 0.19, 0.01 
1058, 0.19, 0.01 
1059, 0.19, 0.01 
1060, 0.19, 0.01 
1061, 0.19, 0.01 
1062, 0.19, 0.01 
1063, 0.19, 0.01 
1064, 0.19, 0.01 
1065, 0.19, 0.01 
1066, 0.19, 0.01 
